year , site , yield , variety
1931 , University Farm , 27.00000 , Manchuria
1931 , Waseca , 48.86667 , Manchuria
1931 , Morris , 27.43334 , Manchuria
1931 , Crookston , 39.93333 , Manchuria
1931 , Grand Rapids , 32.96667 , Manchuria
1931 , Duluth , 28.96667 , Manchuria
1931 , University Farm , 43.06666 , Glabron
1931 , Waseca , 55.20000 , Glabron
1931 , Morris , 28.76667 , Glabron
1931 , Crookston , 38.13333 , Glabron
1931 , Grand Rapids , 29.13333 , Glabron
1931 , Duluth , 29.66667 , Glabron
1931 , University Farm , 35.13333 , Svansota
1931 , Waseca , 47.33333 , Svansota
1931 , Morris , 25.76667 , Svansota
1931 , Crookston , 40.46667 , Svansota
1931 , Grand Rapids , 29.66667 , Svansota
1931 , Duluth , 25.70000 , Svansota
1931 , University Farm , 39.90000 , Velvet
1931 , Waseca , 50.23333 , Velvet
1931 , Morris , 26.13333 , Velvet
1931 , Crookston , 41.33333 , Velvet
1931 , Grand Rapids , 23.03333 , Velvet
1931 , Duluth , 26.30000 , Velvet
1931 , University Farm , 36.56666 , Trebi
1931 , Waseca , 63.83330 , Trebi
1931 , Morris , 43.76667 , Trebi
1931 , Crookston , 46.93333 , Trebi
1931 , Grand Rapids , 29.76667 , Trebi
1931 , Duluth , 33.93333 , Trebi
1931 , University Farm , 43.26667 , No. 457
1931 , Waseca , 58.10000 , No. 457
1931 , Morris , 28.70000 , No. 457
1931 , Crookston , 45.66667 , No. 457
1931 , Grand Rapids , 32.16667 , No. 457
1931 , Duluth , 33.60000 , No. 457
1931 , University Farm , 36.60000 , No. 462
1931 , Waseca , 65.76670 , No. 462
1931 , Morris , 30.36667 , No. 462
1931 , Crookston , 48.56666 , No. 462
1931 , Grand Rapids , 24.93334 , No. 462
1931 , Duluth , 28.10000 , No. 462
1931 , University Farm , 32.76667 , Peatland
1931 , Waseca , 48.56666 , Peatland
1931 , Morris , 29.86667 , Peatland
1931 , Crookston , 41.60000 , Peatland
1931 , Grand Rapids , 34.70000 , Peatland
1931 , Duluth , 32.00000 , Peatland
1931 , University Farm , 24.66667 , No. 475
1931 , Waseca , 46.76667 , No. 475
1931 , Morris , 22.60000 , No. 475
1931 , Crookston , 44.10000 , No. 475
1931 , Grand Rapids , 19.70000 , No. 475
1931 , Duluth , 33.06666 , No. 475
1931 , University Farm , 39.30000 , Wisconsin No. 38
1931 , Waseca , 58.80000 , Wisconsin No. 38
1931 , Morris , 29.46667 , Wisconsin No. 38
1931 , Crookston , 49.86667 , Wisconsin No. 38
1931 , Grand Rapids , 34.46667 , Wisconsin No. 38
1931 , Duluth , 31.60000 , Wisconsin No. 38
1932 , University Farm , 26.90000 , Manchuria
1932 , Waseca , 33.46667 , Manchuria
1932 , Morris , 34.36666 , Manchuria
1932 , Crookston , 32.96667 , Manchuria
1932 , Grand Rapids , 22.13333 , Manchuria
1932 , Duluth , 22.56667 , Manchuria
1932 , University Farm , 36.80000 , Glabron
1932 , Waseca , 37.73333 , Glabron
1932 , Morris , 35.13333 , Glabron
1932 , Crookston , 26.16667 , Glabron
1932 , Grand Rapids , 14.43333 , Glabron
1932 , Duluth , 25.86667 , Glabron
1932 , University Farm , 27.43334 , Svansota
1932 , Waseca , 38.50000 , Svansota
1932 , Morris , 35.03333 , Svansota
1932 , Crookston , 20.63333 , Svansota
1932 , Grand Rapids , 16.63333 , Svansota
1932 , Duluth , 22.23333 , Svansota
1932 , University Farm , 26.80000 , Velvet
1932 , Waseca , 37.40000 , Velvet
1932 , Morris , 38.83333 , Velvet
1932 , Crookston , 32.06666 , Velvet
1932 , Grand Rapids , 32.23333 , Velvet
1932 , Duluth , 22.46667 , Velvet
1932 , University Farm , 29.06667 , Trebi
1932 , Waseca , 49.23330 , Trebi
1932 , Morris , 46.63333 , Trebi
1932 , Crookston , 41.83333 , Trebi
1932 , Grand Rapids , 20.63333 , Trebi
1932 , Duluth , 30.60000 , Trebi
1932 , University Farm , 26.43334 , No. 457
1932 , Waseca , 42.20000 , No. 457
1932 , Morris , 43.53334 , No. 457
1932 , Crookston , 34.33333 , No. 457
1932 , Grand Rapids , 19.46667 , No. 457
1932 , Duluth , 22.70000 , No. 457
1932 , University Farm , 25.56667 , No. 462
1932 , Waseca , 44.70000 , No. 462
1932 , Morris , 47.00000 , No. 462
1932 , Crookston , 30.53333 , No. 462
1932 , Grand Rapids , 19.90000 , No. 462
1932 , Duluth , 22.50000 , No. 462
1932 , University Farm , 28.06667 , Peatland
1932 , Waseca , 36.03333 , Peatland
1932 , Morris , 43.20000 , Peatland
1932 , Crookston , 25.23333 , Peatland
1932 , Grand Rapids , 26.76667 , Peatland
1932 , Duluth , 31.36667 , Peatland
1932 , University Farm , 30.00000 , No. 475
1932 , Waseca , 41.26667 , No. 475
1932 , Morris , 44.23333 , No. 475
1932 , Crookston , 32.13333 , No. 475
1932 , Grand Rapids , 15.23333 , No. 475
1932 , Duluth , 27.36667 , No. 475
1932 , University Farm , 38.00000 , Wisconsin No. 38
1932 , Waseca , 58.16667 , Wisconsin No. 38
1932 , Morris , 47.16667 , Wisconsin No. 38
1932 , Crookston , 35.90000 , Wisconsin No. 38
1932 , Grand Rapids , 20.66667 , Wisconsin No. 38
1932 , Duluth , 29.33333 , Wisconsin No. 38
